source,destination,distance
City1,City2,208
City2,City3,18
City3,City4,135
City4,City5,750
City5,City6,229
City6,City7,24
City7,City8,464
City8,City9,472
City9,City10,954
City10,City11,455
City11,City12,717
City12,City13,932
City13,City14,370
City14,City15,455
City15,City16,228
City16,City17,737
City17,City18,843
City18,City19,361
City19,City20,388
City20,City21,370
City21,City22,106
City22,City23,986
City23,City24,176
City24,City25,68
City25,City26,355
City26,City27,45
City27,City28,104
City28,City29,470
City29,City30,494
City30,City31,132
City31,City32,674
City32,City33,132
City33,City34,342
City34,City35,803
City35,City36,670
City36,City37,632
City37,City38,796
City38,City39,449
City39,City40,263
City40,City41,766
City41,City42,168
City42,City43,347
City43,City44,764
City44,City45,258
City45,City46,383
City46,City47,695
City47,City48,223
City48,City49,744
City49,City50,536
City50,City51,970
City51,City52,869
City52,City53,591
City53,City54,464
City54,City55,959
City55,City56,500
City56,City57,131
City57,City58,453
City58,City59,964
City59,City60,707
City60,City61,965
City61,City62,280
City62,City63,522
City63,City64,490
City64,City65,425
City65,City66,499
City66,City67,329
City67,City68,179
City68,City69,733
City69,City70,586
City70,City71,21
City71,City72,992
City72,City73,193
City73,City74,415
City74,City75,34
City75,City76,844
City76,City77,983
City77,City78,109
City78,City79,207
City79,City80,806
City80,City81,353
City81,City82,126
City82,City83,818
City83,City84,647
City84,City85,105
City85,City86,128
City86,City87,424
City87,City88,901
City88,City89,160
City89,City90,850
City90,City91,551
City91,City92,320
City92,City93,295
City93,City94,516
City94,City95,34
City95,City96,489
City96,City97,499
City97,City98,660
City98,City99,480
City99,City100,19
City100,City101,705
City101,City102,437
City102,City103,601
City103,City104,281
City104,City105,270
City105,City106,18
City106,City107,342
City107,City108,423
City108,City109,609
City109,City110,849
City110,City111,652
City111,City112,869
City112,City113,752
City113,City114,898
City114,City115,797
City115,City116,286
City116,City117,428
City117,City118,486
City118,City119,835
City119,City120,207
City120,City121,266
City121,City122,853
City122,City123,73
City123,City124,778
City124,City125,910
City125,City126,592
City126,City127,872
City127,City128,82
City128,City129,526
City129,City130,365
City130,City131,515
City131,City132,529
City132,City133,856
City133,City134,112
City134,City135,976
City135,City136,822
City136,City137,521
City137,City138,342
City138,City139,316
City139,City140,386
City140,City141,515
City141,City142,301
City142,City143,529
City143,City144,457
City144,City145,10
City145,City146,648
City146,City147,430
City147,City148,198
City148,City149,756
City149,City150,623
City150,City151,644
City151,City152,790
City152,City153,91
City153,City154,66
City154,City155,176
City155,City156,527
City156,City157,320
City157,City158,430
City158,City159,793
City159,City160,226
City160,City161,989
City161,City162,256
City162,City163,272
City163,City164,267
City164,City165,174
City165,City166,983
City166,City167,135
City167,City168,433
City168,City169,221
City169,City170,958
City170,City171,904
City171,City172,313
City172,City173,810
City173,City174,399
City174,City175,939
City175,City176,93
City176,City177,155
City177,City178,539
City178,City179,331
City179,City180,906
City180,City181,222
City181,City182,837
City182,City183,821
City183,City184,199
City184,City185,400
City185,City186,254
City186,City187,182
City187,City188,897
City188,City189,96
City189,City190,643
City190,City191,769
City191,City192,563
City192,City193,661
City193,City194,316
City194,City195,449
City195,City196,571
City196,City197,208
City197,City198,774
City198,City199,201
City199,City200,56
City200,City201,528
City201,City202,551
City202,City203,678
City203,City204,31
City204,City205,608
City205,City206,121
City206,City207,5
City207,City208,733
City208,City209,975
City209,City210,408
City210,City211,358
City211,City212,431
City212,City213,860
City213,City214,773
City214,City215,85
City215,City216,333
City216,City217,28
City217,City218,445
City218,City219,793
City219,City220,21
City220,City221,594
City221,City222,764
City222,City223,26
City223,City224,939
City224,City225,97
City225,City226,787
City226,City227,868
City227,City228,350
City228,City229,345
City229,City230,136
City230,City231,394
City231,City232,582
City232,City233,515
City233,City234,29
City234,City235,25
City235,City236,66
City236,City237,403
City237,City238,305
City238,City239,475
City239,City240,646
City240,City241,137
City241,City242,290
City242,City243,197
City243,City244,41
City244,City245,948
City245,City246,364
City246,City247,925
City247,City248,76
City248,City249,124
City249,City250,322
City250,City251,291
City251,City252,511
City252,City253,10
City253,City254,731
City254,City255,786
City255,City256,694
City256,City257,126
City257,City258,961
City258,City259,51
City259,City260,16
City260,City261,484
City261,City262,51
City262,City263,247
City263,City264,264
City264,City265,85
City265,City266,595
City266,City267,599
City267,City268,876
City268,City269,157
City269,City270,321
City270,City271,506
City271,City272,987
City272,City273,438
City273,City274,805
City274,City275,986
City275,City276,364
City276,City277,289
City277,City278,324
City278,City279,643
City279,City280,897
City280,City281,220
City281,City282,266
City282,City283,217
City283,City284,658
City284,City285,36
City285,City286,926
City286,City287,557
City287,City288,974
City288,City289,376
City289,City290,307
City290,City291,891
City291,City292,988
City292,City293,687
City293,City294,762
City294,City295,251
City295,City296,720
City296,City297,536
City297,City298,973
City298,City299,715
City299,City300,770
City300,City301,140
City301,City302,103
City302,City303,341
City303,City304,304
City304,City305,74
City305,City306,839
City306,City307,834
City307,City308,739
City308,City309,95
City309,City310,395
City310,City311,835
City311,City312,999
City312,City313,183
City313,City314,624
City314,City315,71
City315,City316,683
City316,City317,613
City317,City318,584
City318,City319,406
City319,City320,1
City320,City321,34
City321,City322,749
City322,City323,936
City323,City324,184
City324,City325,398
City325,City326,777
City326,City327,355
City327,City328,356
City328,City329,768
City329,City330,480
