source,destination,distance
City1,City2,658
City2,City3,146
City3,City4,652
City4,City5,562
City5,City6,356
City6,City7,81
City7,City8,138
City8,City9,918
City9,City10,670
City10,City11,795
City11,City12,551
City12,City13,483
City13,City14,987
City14,City15,797
City15,City16,234
City16,City17,96
City17,City18,130
City18,City19,436
City19,City20,408
City20,City21,591
City21,City22,813
City22,City23,711
City23,City24,153
City24,City25,51
City25,City26,571
City26,City27,648
City27,City28,286
City28,City29,676
City29,City30,421
City30,City31,824
City31,City32,543
City32,City33,337
City33,City34,454
City34,City35,902
City35,City36,737
City36,City37,832
City37,City38,219
City38,City39,436
City39,City40,220
City40,City41,900
City41,City42,273
City42,City43,255
City43,City44,835
City44,City45,636
City45,City46,510
City46,City47,80
City47,City48,461
City48,City49,308
City49,City50,280
City50,City51,900
City51,City52,552
City52,City53,890
City53,City54,898
City54,City55,932
City55,City56,629
City56,City57,776
City57,City58,69
City58,City59,786
City59,City60,78
City60,City61,961
City61,City62,899
City62,City63,625
City63,City64,564
City64,City65,537
City65,City66,999
City66,City67,735
City67,City68,589
City68,City69,245
City69,City70,936
City70,City71,2
City71,City72,787
City72,City73,420
City73,City74,363
City74,City75,388
City75,City76,704
City76,City77,57
City77,City78,48
City78,City79,556
City79,City80,365
City80,City81,822
City81,City82,189
City82,City83,570
City83,City84,370
City84,City85,134
City85,City86,519
City86,City87,7
City87,City88,216
City88,City89,159
City89,City90,232
City90,City91,759
City91,City92,282
City92,City93,235
City93,City94,266
City94,City95,156
City95,City96,321
City96,City97,122
City97,City98,841
City98,City99,960
City99,City100,262
City100,City101,485
City101,City102,846
City102,City103,630
City103,City104,755
City104,City105,441
City105,City106,487
City106,City107,478
City107,City108,843
City108,City109,901
City109,City110,428
City110,City111,427
City111,City112,544
City112,City113,802
City113,City114,93
City114,City115,259
City115,City116,635
City116,City117,311
City117,City118,568
City118,City119,530
City119,City120,149
City120,City121,254
City121,City122,598
City122,City123,995
City123,City124,20
City124,City125,463
City125,City126,685
City126,City127,533
City127,City128,706
City128,City129,22
City129,City130,232
City130,City131,581
City131,City132,720
City132,City133,619
City133,City134,226
City134,City135,934
City135,City136,615
City136,City137,742
City137,City138,713
City138,City139,434
City139,City140,271
City140,City141,773
City141,City142,719
City142,City143,163
City143,City144,328
City144,City145,76
City145,City146,13
City146,City147,82
City147,City148,294
City148,City149,960
City149,City150,176
City150,City151,91
City151,City152,98
City152,City153,24
City153,City154,653
City154,City155,891
City155,City156,66
City156,City157,664
City157,City158,808
City158,City159,784
City159,City160,75
City160,City161,371
City161,City162,392
City162,City163,171
City163,City164,397
City164,City165,76
City165,City166,759
City166,City167,36
City167,City168,333
City168,City169,849
City169,City170,366
City170,City171,907
City171,City172,104
City172,City173,405
City173,City174,717
City174,City175,462
City175,City176,170
City176,City177,481
City177,City178,255
City178,City179,444
City179,City180,767
City180,City181,782
City181,City182,43
City182,City183,588
City183,City184,561
City184,City185,97
City185,City186,704
City186,City187,731
City187,City188,8
City188,City189,395
City189,City190,320
City190,City191,672
City191,City192,47
City192,City193,852
City193,City194,5
City194,City195,462
City195,City196,691
