source,destination,distance
City1,City2,861
City2,City3,548
City3,City4,403
City4,City5,308
City5,City6,265
City6,City7,733
City7,City8,66
City8,City9,275
City9,City10,822
City10,City11,870
City11,City12,298
City12,City13,996
City13,City14,782
City14,City15,52
City15,City16,933
City16,City17,516
City17,City18,286
City18,City19,96
City19,City20,320
City20,City21,890
City21,City22,212
City22,City23,560
City23,City24,657
City24,City25,329
City25,City26,679
City26,City27,525
City27,City28,846
City28,City29,821
City29,City30,685
City30,City31,827
City31,City32,772
City32,City33,444
City33,City34,751
City34,City35,491
City35,City36,465
City36,City37,426
City37,City38,345
City38,City39,977
City39,City40,169
City40,City41,296
City41,City42,382
City42,City43,34
City43,City44,341
City44,City45,907
City45,City46,81
City46,City47,503
City47,City48,683
City48,City49,21
City49,City50,630
City50,City51,638
City51,City52,558
City52,City53,186
City53,City54,830
City54,City55,203
City55,City56,701
City56,City57,840
City57,City58,697
City58,City59,571
City59,City60,929
City60,City61,267
City61,City62,182
City62,City63,480
City63,City64,432
City64,City65,389
City65,City66,30
City66,City67,238
City67,City68,264
City68,City69,759
City69,City70,831
City70,City71,824
City71,City72,861
City72,City73,567
City73,City74,780
City74,City75,304
City75,City76,466
City76,City77,766
City77,City78,90
City78,City79,210
City79,City80,910
City80,City81,964
City81,City82,165
City82,City83,91
City83,City84,350
City84,City85,49
City85,City86,8
City86,City87,131
City87,City88,961
City88,City89,3
City89,City90,556
City90,City91,956
City91,City92,817
City92,City93,120
City93,City94,24
City94,City95,702
City95,City96,524
City96,City97,31
City97,City98,559
City98,City99,865
City99,City100,282
City79,City87,630
City89,City51,261
City15,City5,960
City69,City17,11
City37,City47,506
City80,City10,550
City16,City51,805
City95,City49,751
City21,City90,83
City72,City32,36
City5,City81,765
City4,City87,347
City35,City15,935
City60,City42,879
City95,City30,44
City5,City24,501
City59,City11,914
City64,City81,585
City10,City13,633
City73,City93,875
City70,City42,146
City68,City98,426
City39,City41,145
City31,City48,481
City76,City28,522
City39,City9,173
