source,destination,distance
City1,City2,978
City2,City3,97
City3,City4,191
City4,City5,734
City5,City6,434
City6,City7,225
City7,City8,533
City8,City9,497
City9,City10,679
City10,City11,759
City11,City12,436
City12,City13,766
City13,City14,762
City14,City15,374
City15,City16,602
City16,City17,377
City17,City18,840
City18,City19,563
City19,City20,317
City20,City21,654
City21,City22,397
City22,City23,845
City23,City24,382
City24,City25,935
City25,City26,349
City26,City27,330
City27,City28,133
City28,City29,539
City29,City30,125
City30,City31,895
City31,City32,477
City32,City33,92
City33,City34,295
City34,City35,19
City35,City36,336
City36,City37,244
City37,City38,596
City38,City39,697
City39,City40,757
City40,City41,325
City41,City42,660
City42,City43,552
City43,City44,21
City44,City45,564
City45,City46,258
City46,City47,880
City47,City48,886
City48,City49,633
City49,City50,467
City50,City51,259
City51,City52,791
City52,City53,134
City53,City54,901
City54,City55,342
City55,City56,410
City56,City57,321
City57,City58,787
City58,City59,787
City59,City60,975
City60,City61,344
City61,City62,198
City62,City63,124
City63,City64,357
City64,City65,448
City65,City66,512
City66,City67,318
City67,City68,235
City68,City69,930
City69,City70,98
City70,City71,808
City71,City72,37
City72,City73,595
City73,City74,702
City74,City75,262
City75,City76,738
City76,City77,398
City77,City78,838
City78,City79,158
City79,City80,762
City80,City81,472
City81,City82,411
City82,City83,446
City83,City84,157
City84,City85,303
City85,City86,602
City86,City87,600
City87,City88,815
City88,City89,792
City89,City90,497
City90,City91,68
City91,City92,935
City92,City93,556
City93,City94,247
City94,City95,768
City95,City96,47
City96,City97,734
City97,City98,457
City98,City99,14
City99,City100,462
City100,City101,987
City101,City102,792
City102,City103,210
City103,City104,280
City104,City105,63
City105,City106,72
City106,City107,199
City107,City108,551
City108,City109,648
City109,City110,996
City110,City111,13
City111,City112,11
City112,City113,857
City113,City114,325
City114,City115,665
City115,City116,525
City116,City117,421
City117,City118,818
City118,City119,384
City119,City120,657
City120,City121,830
City121,City122,872
City122,City123,17
City123,City124,345
City124,City125,849
City125,City126,210
City126,City127,743
City127,City128,599
City128,City129,616
City129,City130,517
City130,City131,119
City131,City132,299
City132,City133,740
City133,City134,330
City134,City135,540
City135,City136,538
City136,City137,156
City137,City138,870
City138,City139,325
City139,City140,375
City140,City141,598
City141,City142,999
City142,City143,776
City143,City144,755
City144,City145,497
City145,City146,100
City146,City147,717
City147,City148,353
City148,City149,573
City149,City150,335
City150,City151,82
City151,City152,180
City152,City153,320
City153,City154,639
City154,City155,678
City155,City156,497
City156,City157,717
City157,City158,581
City158,City159,379
City159,City160,921
City160,City161,443
City161,City162,960
City162,City163,997
City163,City164,903
City164,City165,599
City165,City166,548
City166,City167,674
City167,City168,144
City168,City169,431
City169,City170,590
City170,City171,365
City171,City172,832
City172,City173,477
City173,City174,194
City174,City175,843
City175,City176,704
City176,City177,652
City177,City178,309
City178,City179,193
City179,City180,621
City180,City181,1
City181,City182,303
City182,City183,664
City183,City184,845
City184,City185,817
City185,City186,840
City186,City187,439
City187,City188,131
City188,City189,755
City189,City190,651
City190,City191,883
City191,City192,698
City192,City193,34
City193,City194,303
City194,City195,44
City195,City196,565
City196,City197,426
City197,City198,18
City198,City199,7
City199,City200,557
City200,City201,236
City201,City202,569
City202,City203,340
City203,City204,740
City204,City205,807
City205,City206,955
City206,City207,331
City207,City208,374
City208,City209,429
City209,City210,419
City210,City211,232
City211,City212,647
City212,City213,943
City213,City214,564
City214,City215,272
City215,City216,151
City216,City217,830
City217,City218,231
City218,City219,519
City219,City220,674
City220,City221,839
City221,City222,71
City222,City223,352
City223,City224,149
City224,City225,706
City225,City226,830
City226,City227,104
City227,City228,187
City228,City229,744
City229,City230,440
City230,City231,287
City231,City232,509
City232,City233,998
City233,City234,781
City234,City235,284
City235,City236,391
City236,City237,858
City237,City238,605
City238,City239,211
City239,City240,487
City240,City241,281
City241,City242,907
City242,City243,870
City243,City244,665
City244,City245,338
City245,City246,140
City246,City247,982
City247,City248,910
City248,City249,155
City249,City250,321
City250,City251,980
City251,City252,188
City252,City253,110
City253,City254,199
City254,City255,16
City255,City256,214
City256,City257,39
City257,City258,104
City258,City259,93
City259,City260,203
City260,City261,709
City261,City262,683
City262,City263,879
City263,City264,972
City264,City265,722
City265,City266,526
City266,City267,754
City267,City268,383
City268,City269,569
City269,City270,931
City270,City271,400
City271,City272,937
City272,City273,915
City273,City274,89
City274,City275,334
City275,City276,320
City276,City277,910
City277,City278,281
City278,City279,789
City279,City280,959
City280,City281,163
City281,City282,937
City282,City283,464
City283,City284,298
City284,City285,434
City285,City286,934
City286,City287,918
City287,City288,113
City288,City289,932
City289,City290,930
City290,City291,526
City291,City292,666
City292,City293,229
City293,City294,885
City294,City295,634
City295,City296,127
City296,City297,924
City297,City298,383
City298,City299,810
City299,City300,702
City300,City301,168
City301,City302,923
City302,City303,901
City303,City304,383
City304,City305,184
City305,City306,960
City306,City307,862
City307,City308,680
City308,City309,439
City309,City310,321
City310,City311,945
City311,City312,189
City312,City313,203
City313,City314,964
City314,City315,297
City315,City316,787
City316,City317,441
City317,City318,752
City318,City319,279
City319,City320,147
City320,City321,942
City321,City322,471
City322,City323,793
City323,City324,244
City324,City325,892
City325,City326,507
City326,City327,380
City327,City328,689
City328,City329,607
City329,City330,669
City330,City331,783
City331,City332,138
City332,City333,211
City333,City334,904
City334,City335,791
City335,City336,966
City336,City337,684
City337,City338,52
City338,City339,632
City339,City340,677
City340,City341,977
City341,City342,727
City342,City343,399
City343,City344,148
City344,City345,950
City345,City346,382
City346,City347,609
City347,City348,90
City348,City349,677
City349,City350,105
City350,City351,902
City351,City352,407
City352,City353,905
City353,City354,652
City354,City355,976
City355,City356,205
City356,City357,582
City357,City358,33
City358,City359,130
City359,City360,406
City360,City361,32
City361,City362,147
City362,City363,823
City363,City364,292
City364,City365,718
City365,City366,134
City366,City367,793
City367,City368,456
City368,City369,907
City369,City370,890
City370,City371,354
City371,City372,259
City372,City373,257
City373,City374,967
City374,City375,882
City375,City376,608
City376,City377,466
City377,City378,290
City378,City379,933
City379,City380,522
City380,City381,172
City381,City382,29
City382,City383,496
City383,City384,25
City384,City385,952
City385,City386,180
City386,City387,240
City387,City388,488
City388,City389,720
City389,City390,915
City390,City391,255
City391,City392,506
City392,City393,634
City393,City394,598
City394,City395,333
City395,City396,275
City396,City397,382
City397,City398,753
City398,City399,975
City399,City400,651
City400,City401,936
City401,City402,574
City402,City403,318
City403,City404,909
City404,City405,578
City405,City406,340
City406,City407,566
City407,City408,870
City408,City409,609
City409,City410,292
City410,City411,713
City411,City412,184
City412,City413,345
City413,City414,231
City414,City415,616
City415,City416,910
City416,City417,464
City417,City418,92
City418,City419,597
City419,City420,890
City420,City421,429
City421,City422,342
City422,City423,920
City423,City424,554
City424,City425,275
City425,City426,585
City426,City427,372
City427,City428,178
City428,City429,925
City429,City430,709
City430,City431,165
City431,City432,90
City432,City433,992
City433,City434,851
City434,City435,273
City435,City436,584
City436,City437,55
City437,City438,676
City438,City439,256
City439,City440,921
City440,City441,751
City441,City442,289
City442,City443,689
City443,City444,344
City444,City445,968
City445,City446,909
City446,City447,298
City447,City448,737
City448,City449,949
City449,City450,215
City450,City451,699
City451,City452,207
City452,City453,680
City453,City454,132
City454,City455,352
City455,City456,721
City456,City457,397
City457,City458,785
City458,City459,770
City459,City460,100
City460,City461,665
City461,City462,918
City462,City463,489
City463,City464,2
City464,City465,278
City465,City466,133
City466,City467,63
City467,City468,888
City468,City469,182
City469,City470,994
City470,City471,499
City471,City472,629
City472,City473,666
City473,City474,965
City474,City475,201
City475,City476,278
City476,City477,958
City477,City478,58
City478,City479,371
City479,City480,246
City480,City481,378
City481,City482,322
City482,City483,254
City483,City484,787
City484,City485,775
City485,City486,754
City486,City487,148
City487,City488,116
City488,City489,460
City489,City490,809
City490,City491,785
City491,City492,502
City492,City493,501
City493,City494,944
City494,City495,380
City495,City496,590
City496,City497,679
City497,City498,834
City498,City499,452
City499,City500,32
City500,City501,802
City501,City502,682
City502,City503,348
City503,City504,902
City504,City505,187
City505,City506,51
City506,City507,253
City507,City508,461
City508,City509,29
City509,City510,738
City510,City511,566
City511,City512,738
City512,City513,284
City513,City514,441
City514,City515,818
City515,City516,169
City516,City517,982
City517,City518,581
City518,City519,879
City519,City520,173
City520,City521,341
City521,City522,406
City522,City523,430
City523,City524,748
City524,City525,589
City525,City526,783
City526,City527,724
City527,City528,954
City528,City529,999
City529,City530,995
City530,City531,812
City531,City532,206
City532,City533,160
City533,City534,528
City534,City535,814
City535,City536,177
City536,City537,521
City537,City538,48
City538,City539,16
City539,City540,514
City540,City541,187
City541,City542,481
City542,City543,496
City543,City544,927
City544,City545,367
City545,City546,390
City546,City547,619
City547,City548,471
City548,City549,975
City549,City550,447
City550,City551,733
City551,City552,642
City552,City553,300
City553,City554,284
City554,City555,805
City555,City556,793
City556,City557,501
City557,City558,519
City558,City559,708
City559,City560,282
City560,City561,569
City561,City562,526
City562,City563,123
City563,City564,20
City564,City565,602
City565,City566,728
City566,City567,550
City567,City568,817
City568,City569,262
City569,City570,239
City570,City571,984
City571,City572,441
City572,City573,667
City573,City574,483
City574,City575,484
City575,City576,707
City576,City577,678
City577,City578,704
City578,City579,645
City579,City580,223
City580,City581,31
City581,City582,622
City582,City583,403
City583,City584,262
City584,City585,213
City585,City586,718
City586,City587,274
City587,City588,195
City588,City589,362
City589,City590,860
City590,City591,857
City591,City592,283
City592,City593,474
City593,City594,279
City594,City595,20
City595,City596,959
City596,City597,654
City597,City598,158
City598,City599,407
City599,City600,195
City600,City601,415
City601,City602,181
City602,City603,503
City603,City604,566
City604,City605,177
City605,City606,165
City606,City607,318
City607,City608,690
City608,City609,38
City609,City610,713
City610,City611,875
City611,City612,70
City612,City613,427
City613,City614,372
City614,City615,764
City615,City616,406
City616,City617,723
City617,City618,896
City618,City619,121
City619,City620,780
City620,City621,230
City621,City622,10
City622,City623,486
City623,City624,408
City624,City625,310
City625,City626,361
City626,City627,845
City627,City628,779
City628,City629,206
City629,City630,694
City630,City631,925
City631,City632,89
City632,City633,424
City633,City634,301
City634,City635,75
City635,City636,285
City636,City637,17
City637,City638,697
City638,City639,451
City639,City640,286
City640,City641,898
City641,City642,501
City642,City643,19
City643,City644,735
City644,City645,238
City645,City646,423
City646,City647,284
City647,City648,581
City648,City649,123
City649,City650,823
City650,City651,398
City651,City652,529
City652,City653,407
City653,City654,533
City654,City655,576
City655,City656,133
City656,City657,617
City657,City658,649
City658,City659,400
City659,City660,739
City660,City661,968
City661,City662,724
City662,City663,349
City663,City664,713
City664,City665,604
City665,City666,788
City666,City667,382
City667,City668,345
City668,City669,127
City669,City670,12
City670,City671,766
City671,City672,461
City672,City673,87
City673,City674,954
City674,City675,447
City675,City676,568
City676,City677,476
City677,City678,585
City678,City679,448
City679,City680,839
City680,City681,632
City681,City682,535
City682,City683,677
City683,City684,822
City684,City685,224
City685,City686,33
City686,City687,825
City687,City688,47
City688,City689,678
City689,City690,955
City690,City691,939
City691,City692,381
City692,City693,383
City693,City694,596
City694,City695,274
City695,City696,998
City696,City697,536
City697,City698,661
City698,City699,917
City699,City700,703
City700,City701,496
City701,City702,962
City702,City703,260
City703,City704,258
City704,City705,185
City705,City706,145
City706,City707,229
City707,City708,467
City708,City709,17
City709,City710,872
City710,City711,500
City711,City712,400
City712,City713,816
City713,City714,411
City714,City715,626
City715,City716,190
City716,City717,277
City717,City718,882
City718,City719,72
City719,City720,216
City720,City721,401
City721,City722,617
City722,City723,96
City723,City724,355
City724,City725,919
City725,City726,794
City726,City727,528
City727,City728,269
City728,City729,503
City729,City730,653
City730,City731,157
City731,City732,203
City732,City733,142
City733,City734,719
City734,City735,176
City735,City736,818
City736,City737,4
City737,City738,944
City738,City739,471
City739,City740,909
City740,City741,881
City741,City742,22
City742,City743,386
City743,City744,181
City744,City745,748
City745,City746,40
City746,City747,24
City747,City748,847
City748,City749,330
City749,City750,469
City750,City751,887
City751,City752,662
City752,City753,328
City753,City754,754
City754,City755,588
City755,City756,42
City756,City757,253
City757,City758,738
City758,City759,868
City759,City760,825
City760,City761,654
City761,City762,455
City762,City763,680
City763,City764,73
City764,City765,279
City765,City766,383
City766,City767,942
City767,City768,407
City768,City769,939
City769,City770,547
City770,City771,410
City771,City772,778
City772,City773,417
City773,City774,921
City774,City775,249
City775,City776,481
City776,City777,323
City777,City778,401
City778,City779,901
City779,City780,363
City780,City781,715
City781,City782,196
City782,City783,946
City783,City784,109
City784,City785,253
City785,City786,56
City786,City787,899
City787,City788,405
City788,City789,747
City789,City790,920
City790,City791,722
City791,City792,502
City792,City793,393
City793,City794,592
City794,City795,323
City795,City796,172
City796,City797,582
City797,City798,15
City798,City799,603
City799,City800,591
City800,City801,611
City801,City802,925
City802,City803,994
City803,City804,293
City804,City805,187
City805,City806,188
City806,City807,290
City807,City808,688
City808,City809,951
City809,City810,843
City810,City811,163
City811,City812,662
City812,City813,405
City813,City814,892
City814,City815,765
City815,City816,727
City816,City817,572
City817,City818,119
City818,City819,337
City819,City820,210
City820,City821,71
City821,City822,240
City822,City823,45
City823,City824,608
City824,City825,660
City825,City826,604
City826,City827,849
City827,City828,482
City828,City829,695
City829,City830,745
City830,City831,658
City831,City832,525
City832,City833,839
City833,City834,619
City834,City835,83
City835,City836,619
City836,City837,653
City837,City838,786
City838,City839,307
City839,City840,678
City840,City841,349
City841,City842,265
City842,City843,296
City843,City844,38
City844,City845,635
City845,City846,674
City846,City847,725
City847,City848,978
City848,City849,931
City849,City850,620
City850,City851,602
City851,City852,659
City852,City853,996
City853,City854,622
City854,City855,817
City855,City856,75
City856,City857,330
City857,City858,446
City858,City859,488
City859,City860,341
City860,City861,790
City861,City862,738
City862,City863,920
City863,City864,982
City864,City865,781
City865,City866,160
City866,City867,977
City867,City868,752
City868,City869,426
City869,City870,217
City870,City871,784
City871,City872,400
City872,City873,184
City873,City874,856
City874,City875,366
City875,City876,14
City876,City877,384
City877,City878,920
City878,City879,294
City879,City880,385
City880,City881,196
City881,City882,203
City882,City883,74
City883,City884,805
City884,City885,798
City885,City886,71
City886,City887,410
City887,City888,284
City888,City889,207
City889,City890,666
City890,City891,339
City891,City892,153
City892,City893,120
City893,City894,343
City894,City895,424
City895,City896,149
City896,City897,302
City897,City898,233
City898,City899,80
City899,City900,384
City900,City901,150
City901,City902,948
City902,City903,755
City903,City904,281
City904,City905,45
City905,City906,443
City906,City907,578
City907,City908,289
City908,City909,170
City909,City910,707
City910,City911,946
City911,City912,705
City912,City913,203
City913,City914,439
City914,City915,797
City915,City916,268
City916,City917,489
City917,City918,173
City918,City919,597
City919,City920,566
City920,City921,433
City921,City922,629
City922,City923,109
City923,City924,268
City924,City925,567
City925,City926,906
City926,City927,303
City927,City928,806
City928,City929,153
City929,City930,889
City930,City931,667
City931,City932,511
City932,City933,957
City933,City934,39
City934,City935,299
City935,City936,637
City936,City937,624
City937,City938,935
City938,City939,192
City939,City940,476
City940,City941,397
City941,City942,56
City942,City943,47
City943,City944,141
City944,City945,998
City945,City946,388
City946,City947,406
City947,City948,131
City948,City949,353
City949,City950,933
City950,City951,966
City951,City952,566
City952,City953,890
City953,City954,91
City954,City955,852
City955,City956,784
City956,City957,545
City957,City958,857
City958,City959,527
City959,City960,389
City960,City961,664
City961,City962,445
City962,City963,904
City963,City964,904
City964,City965,660
City965,City966,285
City966,City967,561
City967,City968,849
City968,City969,573
City969,City970,431
City970,City971,396
City971,City972,859
City972,City973,667
City973,City974,761
City974,City975,497
City975,City976,433
City976,City977,559
City977,City978,120
City978,City979,235
City979,City980,264
City980,City981,147
City981,City982,52
City982,City983,495
City983,City984,95
City984,City985,271
City985,City986,247
City986,City987,194
