source,destination,distance
City1,City2,844
City2,City3,214
City3,City4,546
City4,City5,107
City5,City6,93
City6,City7,59
City7,City8,564
City8,City9,966
City9,City10,524
City10,City11,621
City11,City12,469
City12,City13,247
City13,City14,903
City14,City15,342
City15,City16,525
City16,City17,115
City17,City18,599
City18,City19,388
City19,City20,987
City20,City21,30
City21,City22,915
City22,City23,738
City23,City24,310
City24,City25,961
City25,City26,669
City26,City27,611
City27,City28,627
City28,City29,127
City29,City30,457
City30,City31,34
City31,City32,105
City32,City33,540
City33,City34,531
City34,City35,336
City35,City36,800
City36,City37,19
City37,City38,591
City38,City39,562
City39,City40,840
City40,City41,314
City41,City42,604
City42,City43,727
City43,City44,318
City44,City45,164
City45,City46,130
City46,City47,915
City47,City48,65
City48,City49,851
City49,City50,651
City50,City51,11
City51,City52,123
City52,City53,367
City53,City54,878
City54,City55,222
City55,City56,195
City56,City57,312
City57,City58,414
City58,City59,619
City59,City60,967
City60,City61,980
City61,City62,385
City62,City63,469
City63,City64,590
City64,City65,341
City65,City66,148
City66,City67,880
City67,City68,164
City68,City69,546
City69,City70,804
City70,City71,30
City71,City72,414
City72,City73,48
City73,City74,831
City74,City75,491
City75,City76,133
City76,City77,797
City77,City78,657
City78,City79,121
City79,City80,152
City80,City81,562
City81,City82,419
City82,City83,681
City83,City84,42
City84,City85,850
City85,City86,237
City86,City87,943
City87,City88,947
City88,City89,115
City89,City90,748
City90,City91,888
City91,City92,155
City92,City93,983
City93,City94,655
City94,City95,539
City95,City96,320
City96,City97,415
City97,City98,835
City98,City99,545
City99,City100,952
City100,City101,45
City101,City102,679
City102,City103,346
City103,City104,58
City104,City105,757
City105,City106,786
City106,City107,158
City107,City108,599
City108,City109,376
City109,City110,511
City110,City111,980
City111,City112,399
City112,City113,580
City113,City114,242
City114,City115,546
City115,City116,349
City116,City117,875
City117,City118,805
City118,City119,146
City119,City120,212
City120,City121,197
City121,City122,508
City122,City123,861
City123,City124,651
City124,City125,85
City125,City126,903
City126,City127,728
City127,City128,203
City128,City129,102
City129,City130,365
City130,City131,279
City131,City132,690
City132,City133,824
City133,City134,332
City134,City135,210
City135,City136,320
City136,City137,675
City137,City138,559
City138,City139,843
City139,City140,263
City140,City141,86
City141,City142,993
City142,City143,120
City143,City144,391
City144,City145,365
City145,City146,830
City146,City147,43
City147,City148,671
City148,City149,893
City149,City150,457
City150,City151,795
City151,City152,304
City152,City153,956
City153,City154,344
City154,City155,167
City155,City156,619
City156,City157,450
City157,City158,124
City158,City159,327
City159,City160,243
City160,City161,150
City161,City162,988
City162,City163,47
City163,City164,125
City164,City165,183
City165,City166,192
City166,City167,393
City167,City168,732
City168,City169,224
City169,City170,915
City170,City171,926
City171,City172,281
City172,City173,246
City173,City174,162
City174,City175,289
City175,City176,519
City176,City177,705
City177,City178,986
City178,City179,663
City179,City180,764
City180,City181,932
City181,City182,494
City182,City183,70
City183,City184,516
City184,City185,747
City185,City186,837
City186,City187,833
City187,City188,8
City188,City189,273
City189,City190,42
City190,City191,758
City191,City192,20
City192,City193,419
City193,City194,189
City194,City195,749
City195,City196,286
City196,City197,45
City197,City198,807
City198,City199,869
City199,City200,609
